PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
0.2883667,1.093323,0.1593701,0.3639196,-0.6166771,-0.2690453,-0.6441168
0.2900468,1.091797,0.1541997,0.3902084,-0.6220991,-0.2034041,-0.6475777
0.2935399,1.08815,0.1521447,0.4016648,-0.6054617,-0.140236,-0.6726183
0.2960999,1.084417,0.1519742,0.409042,-0.589486,-0.1021142,-0.6890309
0.299163,1.079933,0.1552917,0.4101317,-0.6221089,-0.1162975,-0.6566944
0.3023722,1.076734,0.1555889,0.3992822,-0.6508926,-0.09918563,-0.6380241
0.3060274,1.072384,0.1555225,0.3813941,-0.6747746,-0.07456386,-0.6274217
0.3106865,1.069007,0.1557805,0.3581725,-0.6871337,-0.0266167,-0.6315467
0.3149694,1.065758,0.1576841,0.3408898,-0.6816093,0.0167401,-0.6472424
0.3173389,1.061709,0.1595481,0.3409961,-0.6602229,0.0553738,-0.6669041
0.3187205,1.057249,0.1617631,0.342228,-0.6353249,0.0899682,-0.6864022
0.3213138,1.053586,0.1652694,0.324587,-0.627286,0.1086802,-0.6995314
0.3241895,1.050029,0.1689001,0.3053917,-0.6334153,0.1243962,-0.7000332
0.3275637,1.047186,0.1713772,0.2809337,-0.6417099,0.1549049,-0.696627
0.3275267,1.04382,0.1725862,0.3002424,-0.6228409,0.1875497,-0.6976739
0.3272779,1.04096,0.1748257,0.2987165,-0.6161262,0.2130012,-0.6969845
0.3254883,1.038591,0.1789461,0.2895561,-0.5967076,0.2331939,-0.7111385
0.3237893,1.036615,0.1836438,0.2702377,-0.556353,0.2614387,-0.7410079
0.3210306,1.035002,0.1879679,0.2489078,-0.5004545,0.2918492,-0.7761535
0.3174339,1.033692,0.1905932,0.2418914,-0.4537666,0.3164083,-0.797164
0.3138996,1.032529,0.1934579,0.2349176,-0.4080589,0.3330716,-0.8169242
0.3091218,1.031379,0.1964456,0.22224,-0.364356,0.3442091,-0.8362859
0.3023266,1.030995,0.1985887,0.2190611,-0.3373446,0.345753,-0.8477415
0.2943539,1.031108,0.1998854,0.2248685,-0.3191756,0.3410859,-0.8551149
0.2874914,1.031056,0.2015523,0.2302656,-0.2850352,0.3449677,-0.8641354
0.2807936,1.030512,0.2038255,0.2260472,-0.2441485,0.3512243,-0.8751775
0.2739339,1.02964,0.2057312,0.2196995,-0.1935273,0.3701954,-0.8816091
0.2677685,1.028622,0.2070848,0.2120014,-0.1594929,0.3880969,-0.8826088
0.2612869,1.027365,0.2083733,0.1885944,-0.1357992,0.4021817,-0.8855736
0.252452,1.026999,0.2096724,0.1687069,-0.09486342,0.3952493,-0.8979515
0.2417214,1.027099,0.2107745,0.1526019,-0.0539918,0.3595345,-0.9189845
0.2292482,1.026463,0.2117027,0.1392552,-0.01071507,0.307978,-0.9410859
0.2154837,1.024442,0.2114362,0.1231827,0.03525145,0.2410692,-0.962013
0.204094,1.021163,0.2096073,0.1117938,0.06018266,0.1877879,-0.9739692
0.1962717,1.01743,0.2075489,0.1025789,0.08244764,0.1584348,-0.9785593
0.1915378,1.013187,0.2065793,0.08899843,0.1050496,0.1457535,-0.9796937
0.1800821,1.006155,0.2048617,0.05454944,0.1563453,0.1035761,-0.9807408
0.1770658,1.00164,0.2028282,0.03584231,0.1774362,0.07822832,-0.9803632
0.1741606,0.9962478,0.1997682,0.01900401,0.1992262,0.0431853,-0.978817
0.1708957,0.9900605,0.1977179,0.001871062,0.2051612,-0.007782,-0.9786955
0.1690859,0.9828004,0.1973498,-0.00636774,0.1821145,-0.07735514,-0.9802092
0.1682224,0.9750299,0.198532,-0.01479499,0.1521851,-0.1547484,-0.9760501
0.1692911,0.9671602,0.2010442,-0.02285532,0.1160367,-0.2286969,-0.9662872
0.1725408,0.958729,0.2047726,-0.0398076,0.09194767,-0.2899432,-0.9517846
0.1774993,0.9506114,0.2091501,-0.06023109,0.06604502,-0.3377182,-0.9369934
0.1827949,0.9423577,0.2128389,-0.08334614,0.04634614,-0.3863713,-0.9174
0.1906166,0.9343347,0.2167754,-0.1111598,0.01964059,-0.4252664,-0.8980013
0.2000724,0.9275694,0.2205369,-0.1374334,-0.01701025,-0.4655672,-0.8741109
0.210477,0.9222226,0.2235436,-0.1576047,-0.05671976,-0.5075327,-0.8451948
0.2210135,0.9188614,0.2254076,-0.1707342,-0.09551291,-0.5510989,-0.8111825
0.2319699,0.917836,0.226038,-0.1825703,-0.1312479,-0.5884221,-0.7766605
0.2426228,0.9176178,0.2258184,-0.1953428,-0.1647966,-0.6186922,-0.7429019
0.25268,0.919027,0.224706,-0.2026829,-0.1970248,-0.6462062,-0.7088853
0.2617486,0.9210667,0.2234752,-0.2080879,-0.2247203,-0.6682069,-0.6780117
0.269604,0.924494,0.2221381,-0.2084058,-0.2532523,-0.6849611,-0.6505833
0.2751149,0.930563,0.2207757,-0.1980588,-0.2809808,-0.6930887,-0.6336013
0.2795579,0.9361134,0.2200317,-0.1827903,-0.302963,-0.7044595,-0.6152545
0.2831931,0.942615,0.2199439,-0.1630197,-0.3257455,-0.7133518,-0.5987017
0.2878677,0.9483905,0.2201737,-0.1446426,-0.3559877,-0.725684,-0.5707312
0.2916849,0.9552397,0.220489,-0.1220652,-0.3860689,-0.7334157,-0.5460334
0.2950631,0.9625868,0.220431,-0.10227,-0.4210799,-0.7320403,-0.5256895
0.2975267,0.9703771,0.2199114,-0.07979516,-0.4554831,-0.7246235,-0.5109684
0.2990374,0.979089,0.2192613,-0.04823928,-0.4903021,-0.7145432,-0.4966939
